trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
78,False,"{'a': 0.005, 'e': 1.3844948465446758}",30,0,-74.67778599466396,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
79,False,"{'a': 0.005, 'e': 1.3815914910043277}",20,0,-118.94450247173366,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
80,False,"{'a': 0.005, 'e': 1.378653595748662}",20,0,-96.1244036380497,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
81,False,"{'a': 0.005, 'e': 1.3756812342249076}",20,0,-33.729891213968486,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
82,False,"{'a': 0.005, 'e': 1.3726744807419475}",30,2,-263.1466555520617,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 4}",1
83,False,"{'a': 0.005, 'e': 1.3696334104684624}",20,14,7.777872398722584,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.005, 'e': 1.3665580994310504}",25,0,-90.0346437801326,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
85,False,"{'a': 0.005, 'e': 1.3634486245123276}",25,0,-102.11400008533879,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
86,False,"{'a': 0.005, 'e': 1.360305063449005}",20,0,-23.22300963414555,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
87,False,"{'a': 0.005, 'e': 1.3571274948299452}",25,4,-76.60774721613166,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 1}",1
88,False,"{'a': 0.005, 'e': 1.3539159980941982}",35,0,-161.1834682341971,"{0: 20, 1: 7, 2: 6, 3: 0, 4: 2}",0
89,False,"{'a': 0.005, 'e': 1.3506706535290154}",30,0,-157.7001973629217,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
90,False,"{'a': 0.005, 'e': 1.3473915422678417}",30,0,-182.1373019167347,"{0: 13, 1: 6, 2: 9, 3: 0, 4: 2}",0
91,False,"{'a': 0.005, 'e': 1.344078746288288}",25,14,-108.31504053048378,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 3}",1
92,False,"{'a': 0.005, 'e': 1.3407323484100808}",25,0,-162.04633353591424,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
93,False,"{'a': 0.005, 'e': 1.3373524322929933}",25,0,-215.2898286888364,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
94,False,"{'a': 0.005, 'e': 1.3339390824347523}",30,0,-105.98806976650421,"{0: 16, 1: 8, 2: 5, 3: 0, 4: 1}",0
95,False,"{'a': 0.005, 'e': 1.3304923841689262}",20,0,-65.88101922766818,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
96,False,"{'a': 0.005, 'e': 1.3270124236627925}",20,0,-37.6992375065158,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
97,False,"{'a': 0.005, 'e': 1.3234992879151823}",30,0,-168.57903064539178,"{0: 15, 1: 2, 2: 11, 3: 1, 4: 1}",0
98,False,"{'a': 0.005, 'e': 1.3199530647543063}",25,0,-124.05321354803547,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
99,False,"{'a': 0.005, 'e': 1.3163738428355591}",25,0,-150.59958495404464,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
100,False,"{'a': 0.005, 'e': 1.312761711639302}",25,1,-177.35895372194005,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 3}",1
101,False,"{'a': 0.005, 'e': 1.309116761468627}",20,0,-7.41375952563862,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
102,False,"{'a': 0.005, 'e': 1.3054390834470981}",25,0,-188.3052407084496,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
103,False,"{'a': 0.005, 'e': 1.3017287695164748}",25,0,-104.18037367633288,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
104,False,"{'a': 0.005, 'e': 1.2979859124344117}",20,0,-86.5045109580751,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
105,False,"{'a': 0.005, 'e': 1.2942106057721414}",25,0,-156.01575805454763,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
106,False,"{'a': 0.005, 'e': 1.2904029439121336}",25,0,-95.10355099233219,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
107,False,"{'a': 0.005, 'e': 1.2865630220457362}",25,0,-94.08704961144593,"{0: 18, 1: 3, 2: 0, 3: 3, 4: 1}",0
108,False,"{'a': 0.005, 'e': 1.282690936170796}",20,0,-195.18856204514415,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
109,False,"{'a': 0.005, 'e': 1.2787867830892585}",20,0,-62.12425549229921,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
110,False,"{'a': 0.005, 'e': 1.2748506604047471}",20,0,-180.6762819383159,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
111,False,"{'a': 0.005, 'e': 1.2708826665201243}",25,0,-79.17980039034505,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
112,False,"{'a': 0.005, 'e': 1.2668829006350297}",25,0,-65.05570640074112,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
113,False,"{'a': 0.005, 'e': 1.262851462743403}",20,0,-138.34185305174398,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
114,False,"{'a': 0.005, 'e': 1.2587884536309812}",30,0,-192.69484973859892,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 4}",0
115,False,"{'a': 0.005, 'e': 1.2546939748727803}",30,15,-40.9590416587664,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
116,False,"{'a': 0.005, 'e': 1.2505681288305563}",25,0,-193.31086291451456,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
117,False,"{'a': 0.005, 'e': 1.246411018650245}",35,0,-272.1164742769842,"{0: 18, 1: 7, 2: 4, 3: 1, 4: 5}",0
118,False,"{'a': 0.005, 'e': 1.242222748259385}",20,14,7.519135165262336,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.005, 'e': 1.2380034223645175}",25,0,-99.19374931908196,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
120,False,"{'a': 0.005, 'e': 1.23375314644857}",20,0,-171.32590432078288,"{0: 6, 1: 5, 2: 5, 3: 3, 4: 1}",0
121,False,"{'a': 0.005, 'e': 1.229472026768219}",25,0,-58.56167848887594,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
122,False,"{'a': 0.005, 'e': 1.2251601703512343}",25,4,-48.44374629113109,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 0}",1
123,False,"{'a': 0.005, 'e': 1.2208176849938008}",25,0,-92.02504097911542,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
124,False,"{'a': 0.005, 'e': 1.216444679257827}",35,0,-168.24219260676847,"{0: 21, 1: 6, 2: 5, 3: 1, 4: 2}",0
125,False,"{'a': 0.005, 'e': 1.2120412624682277}",30,0,-198.9856314368892,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
126,False,"{'a': 0.005, 'e': 1.2076075447101942}",30,0,-99.33458776073088,"{0: 18, 1: 6, 2: 4, 3: 2, 4: 0}",0
127,False,"{'a': 0.005, 'e': 1.203143636826439}",25,0,-89.96734900981018,"{0: 16, 1: 1, 2: 5, 3: 3, 4: 0}",0
128,False,"{'a': 0.005, 'e': 1.1986496504144268}",25,0,-174.79970240213297,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
129,False,"{'a': 0.005, 'e': 1.194125697823584}",20,0,-77.1974120327076,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
130,False,"{'a': 0.005, 'e': 1.1895718921524892}",25,0,-155.98903429814177,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
131,False,"{'a': 0.005, 'e': 1.1849883472460476}",20,0,-106.72435872709951,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
132,False,"{'a': 0.005, 'e': 1.180375177692643}",25,0,-116.70112149090214,"{0: 11, 1: 5, 2: 8, 3: 1, 4: 0}",0
133,False,"{'a': 0.005, 'e': 1.1757324988212738}",20,0,-78.13635621914486,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
134,False,"{'a': 0.005, 'e': 1.1710604266986702}",25,0,-44.107707334349854,"{0: 15, 1: 8, 2: 2, 3: 0, 4: 0}",0
135,False,"{'a': 0.005, 'e': 1.166359078126392}",30,0,-103.99815866838809,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 0}",0
136,False,"{'a': 0.005, 'e': 1.1616285706379081}",20,0,-72.7435590162457,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
137,False,"{'a': 0.005, 'e': 1.15686902249566}",20,0,-124.89018186473324,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
138,False,"{'a': 0.005, 'e': 1.1520805526881028}",20,0,-90.69987671517687,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
139,False,"{'a': 0.005, 'e': 1.1472632809267327}",20,12,-91.91877681527033,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 2}",1
140,False,"{'a': 0.005, 'e': 1.1424173276430927}",30,0,-107.27159259900053,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
141,False,"{'a': 0.005, 'e': 1.1375428139857622}",20,0,-138.80909325636011,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
142,False,"{'a': 0.005, 'e': 1.1326398618173292}",30,0,-219.92711079465886,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
143,False,"{'a': 0.005, 'e': 1.1277085937113425}",30,0,-182.31062891554805,"{0: 16, 1: 6, 2: 5, 3: 0, 4: 3}",0
144,False,"{'a': 0.005, 'e': 1.1227491329492478}",30,0,-166.41959662504888,"{0: 14, 1: 6, 2: 6, 3: 3, 4: 1}",0
145,False,"{'a': 0.005, 'e': 1.1177616035173057}",20,0,-63.6679004373256,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
146,False,"{'a': 0.005, 'e': 1.1127461301034924}",20,0,-44.9756428004317,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
147,False,"{'a': 0.005, 'e': 1.1077028380943819}",20,1,-80.03587486658012,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 1}",1
148,False,"{'a': 0.005, 'e': 1.1026318535720119}",30,14,-71.1043387458475,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 1}",1
149,False,"{'a': 0.005, 'e': 1.0975333033107313}",20,0,-217.49599398146742,"{0: 8, 1: 1, 2: 6, 3: 2, 4: 3}",0
150,False,"{'a': 0.005, 'e': 1.092407314774031}",25,0,-99.29420718380264,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
151,False,"{'a': 0.005, 'e': 1.0872540161113577}",30,0,-137.97786999861975,"{0: 15, 1: 3, 2: 10, 3: 2, 4: 0}",0
152,False,"{'a': 0.005, 'e': 1.0820735361549094}",25,0,-203.18699157176255,"{0: 13, 1: 6, 2: 1, 3: 1, 4: 4}",0
153,False,"{'a': 0.005, 'e': 1.0768660044164151}",20,0,-44.79172293160768,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
154,False,"{'a': 0.005, 'e': 1.0716315510838972}",20,0,-15.63575960377273,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
155,False,"{'a': 0.005, 'e': 1.066370307018416}",35,0,-171.37464838334245,"{0: 20, 1: 4, 2: 9, 3: 0, 4: 2}",0
